symbol,name,reported_date,reported_period,eps_estimate,revenue,market_cap,dividend,earning,basic_eps,net_income,fy_revenue,shares,beta,employees,change,emp_revenue,emp_income,sector,industry,ceo,website,headquater,founded,figi
SNT,Senstar Technologies Corporation,‪87.47 M‬ USD,,—,—,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
SNTG,Sentage Holdings Inc.,‪5.05 M‬ USD,,—,−0.79 USD,9,−5 −35.71%,‪11.95 K‬ USD,‪−222.76 K‬ USD,,,,,Industry,−5 −35.71%,,,,,,,,,
SNTI,"Senti Biosciences, Inc.","≈
August 19",Q2 2025,−0.92 USD,‪1.30 M‬ USD,‪78.77 M‬ USD,—,—,−10.84 USD,‪−52.79 M‬ USD,0.00 USD,‪7.97 M‬,2.09,34,−14 −29.17%,0.00 USD,‪−1.55 M‬ USD,Health Technology,Biotechnology,Timothy K. Lu,sentibio.com,South San Francisco,2016,BBG010WX7ZB3
SNV,Synovus Financial Corp.,"≈
July 22",Q2 2025,1.24 USD,‪584.91 M‬ USD,‪6.88 B‬ USD,3.17%,13.80,3.59 USD,‪482.46 M‬ USD,‪3.44 B‬ USD,‪138.00 M‬,1.56,‪4.78 K‬,−104 −2.13%,‪720.28 K‬ USD,‪101.04 K‬ USD,Finance,Regional Banks,Kevin S. Blair,synovus.com,Columbus,1972,BBG000BLNZL4
SNWV,"SANUWAVE Health, Inc.",—,Q1 2022,—,—,‪263.86 M‬ USD,—,—,−6.56 USD,‪−31.37 M‬ USD,‪32.63 M‬ USD,‪8.03 M‬,1.19,46,,‪709.43 K‬ USD,‪−682.00 K‬ USD,Health Technology,Medical Specialties,Morgan C. Frank,sanuwave.com,Eden Prairie,2004,BBG000C33X21
SNX,TD SYNNEX Corporation,June 24,Q2 2025,2.73 USD,‪14.30 B‬ USD,‪10.59 B‬ USD,1.40%,15.73,8.04 USD,‪682.99 M‬ USD,‪58.45 B‬ USD,‪78.50 M‬,1.15,‪23 K‬,,‪2.54 M‬ USD,‪29.70 K‬ USD,Distribution Services,Electronics Distributors,Patrick Laurent Zammit,tdsynnex.com,Fremont,1980,BBG000CL9JV4
SNYR,Synergy CHC Corp.,—,,—,—,‪19.47 M‬ USD,—,1.88,1.12 USD,‪2.12 M‬ USD,‪34.83 M‬ USD,‪2.03 M‬,1.62,21,−4 −16.00%,‪1.66 M‬ USD,‪101.19 K‬ USD,Health Technology,Pharmaceuticals: Other,Jack Ross,synergychc.com,Westbrook,2010,BBG003NPV9X2
SO,Southern Company (The),"≈
July 31",Q2 2025,1.00 USD,‪6.71 B‬ USD,‪98.15 B‬ USD,3.34%,21.16,4.20 USD,‪4.40 B‬ USD,‪26.72 B‬ USD,‪1.10 B‬,−0.03,‪28.6 K‬,,‪934.41 K‬ USD,‪153.88 K‬ USD,Utilities,Electric Utilities,Christopher C. Womack,southerncompany.com,Atlanta,1945,BBG000BT9DW0
SOAR,"Volato Group, Inc.",‪4.02 M‬ USD,,—,−19.00 USD,12,−217 −94.76%,‪3.86 M‬ USD,‪−1.83 M‬ USD,,,,,Industry,−217 −94.76%,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
SOBR,"SOBR Safe, Inc.","≈
September 3",Q2 2025,—,—,‪5.52 M‬ USD,—,—,−175.90 USD,‪−8.61 M‬ USD,‪212.74 K‬ USD,‪1.22 M‬,1.90,14,,‪15.20 K‬ USD,‪−614.94 K‬ USD,Electronic Technology,Electronic Equipment/Instruments,David J. Gandini,sobrsafe.com,Greenwood Village,2004,BBG000P42ZM9
SOC,Sable Offshore Corp.,—,,—,‪77.50 M‬ USD,‪2.25 B‬ USD,—,—,−8.34 USD,‪−629.07 M‬ USD,0.00 USD,‪74.94 M‬,1.27,161,,0.00 USD,‪−3.91 M‬ USD,Energy Minerals,Integrated Oil,James C. Flores,sableoffshore.com,Houston,2020,BBG00Z6F4C10
SOFI,"SoFi Technologies, Inc.","≈
August 5",Q2 2025,0.06 USD,‪801.82 M‬ USD,‪15.91 B‬ USD,—,33.51,0.43 USD,‪498.67 M‬ USD,‪3.77 B‬ USD,‪1.08 B‬,2.35,‪5 K‬,,‪753.24 K‬ USD,‪99.73 K‬ USD,Finance,Finance/Rental/Leasing,Anthony J. Noto,sofi.com,San Francisco,2011,BBG00YB1ZD58
SOLV,Solventum Corporation,—,Q2 2025,1.45 USD,‪2.12 B‬ USD,‪13.07 B‬ USD,—,34.52,2.18 USD,‪479.00 M‬ USD,‪8.25 B‬ USD,‪138.41 M‬,0.57,‪22 K‬,,‪375.18 K‬ USD,‪21.77 K‬ USD,Health Services,Medical/Nursing Services,Bryan C. Hanson,solventum.com,Maplewood,2023,BBG018YZH6T3
SON,Sonoco Products Company,—,Q2 2025,1.49 USD,‪1.92 B‬ USD,‪4.54 B‬ USD,4.66%,29.57,1.55 USD,‪164.12 M‬ USD,‪5.31 B‬ USD,‪97.48 M‬,0.51,‪28 K‬,,‪189.52 K‬ USD,‪2.42 K‬ USD,Process Industries,Containers/Packaging,Robert Howard Coker,sonoco.com,Hartsville,1899,BBG000D7HF89
SOND,Sonder Holdings Inc.,—,,—,—,‪23.58 M‬ USD,—,—,−29.06 USD,‪−295.67 M‬ USD,‪602.07 M‬ USD,‪8.53 M‬,4.04,‪1.64 K‬,−53 −3.13%,‪366.67 K‬ USD,‪−180.07 K‬ USD,Consumer Services,Other Consumer Services,Francis Davidson-Tanguay,sonder.com,San Francisco,2014,BBG00Z480N45
SONM,"Sonim Technologies, Inc.",—,,—,‪29.17 M‬ USD,‪10.86 M‬ USD,—,—,−6.19 USD,‪−33.65 M‬ USD,‪58.30 M‬ USD,‪5.26 M‬,−0.04,160,,‪364.36 K‬ USD,‪−210.30 K‬ USD,Electronic Technology,Telecommunications Equipment,Hao Liu,sonimtech.com,San Diego,1999,BBG000D5J0L9
SONN,"Sonnet BioTherapeutics Holdings, Inc.","≈
August 18",Q3 2025,−0.49 USD,0.00 USD,‪3.74 M‬ USD,—,—,−12.83 USD,‪−7.44 M‬ USD,‪18.63 K‬ USD,‪3.13 M‬,0.35,13,,‪1.43 K‬ USD,‪−572.09 K‬ USD,Health Technology,Biotechnology,Raghu Rao,sonnetbio.com,Princeton,2011,BBG000BVZ4N6
SONO,"Sonos, Inc.","≈
August 6",Q3 2025,−0.26 USD,‪324.66 M‬ USD,‪1.26 B‬ USD,—,—,−0.58 USD,‪−38.15 M‬ USD,‪1.52 B‬ USD,‪117.26 M‬,1.27,‪1.71 K‬,−159 −8.52%,‪888.79 K‬ USD,‪−22.33 K‬ USD,Consumer Durables,Electronics/Appliances,Thomas Conrad,sonos.com,Santa Barbara,2002,BBG001JZPSQ2
SOPA,Society Pass Incorporated,—,,—,—,‪6.28 M‬ USD,—,—,−2.76 USD,‪−10.23 M‬ USD,‪7.11 M‬ USD,‪4.34 M‬,1.35,Industry,,,,,,"Q4 '23
Q1 '24
Q2 '24
Q3 '24
Q4 '24",,,,
SOPH,SOPHiA GENETICS SA,—,,—,—,‪199.82 M‬ USD,—,—,−1.00 USD,‪−62.49 M‬ USD,‪65.17 M‬ USD,‪51.78 M‬,1.33,423,−26 −5.79%,‪154.07 K‬ USD,‪−147.74 K‬ USD,Technology Services,Packaged Software,Jurgi Camblong,sophiagenetics.com,Rolle,2011,CH1125843347
SORA,Top Win International Limited,‪156.64 M‬ USD,,—,—,7,‪322.58 K‬ USD,−772.95 USD,,,,,,Industry,,,,,,,,,,
SOTK,Sono-Tek Corporation,—,,0.02 USD,‪5.24 M‬ USD,‪60.08 M‬ USD,—,45.35,0.08 USD,‪1.27 M‬ USD,‪20.50 M‬ USD,‪13.06 M‬,0.55,89,,‪230.39 K‬ USD,‪14.31 K‬ USD,Producer Manufacturing,Industrial Machinery,R. Stephen Harshbarger,sono-tek.com,Milton,1975,BBG000BTC2J5
SOUL,Soulpower Acquisition Corporation,‪260.30 M‬ USD,,—,—,2,0.00 USD,‪−45.41 K‬ USD,,,,,,Industry,,,,,,,,,,
SOUN,"SoundHound AI, Inc.","≈
August 7",Q2 2025,,,"≈
August 7",Q2 2025,−0.09 USD,‪32.89 M‬ USD,,,,,‪3.93 B‬ USD,,—,−0.53 USD,,,,,,,
SOWG,Sow Good Inc.,—,,—,—,‪9.10 M‬ USD,—,—,−0.6117 USD,‪−3.70 M‬ USD,‪31.99 M‬ USD,‪572.34 K‬,1.81,86,−139 −61.78%,‪372.01 K‬ USD,‪−43.05 K‬ USD,Consumer Non-Durables,Food: Specialty/Candy,Claudia Goldfarb,sowginc.com,Irving,2010,BBG000QS9937
SPAI,Safe Pro Group Inc.,‪44.45 M‬ USD,,—,−0.72 USD,30,‪72.31 K‬ USD,‪−247.62 K‬ USD,,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
SPB,"Spectrum Brands Holdings, Inc.",—,,—,—,‪1.38 B‬ USD,3.35%,26.84,2.11 USD,‪124.80 M‬ USD,‪2.96 B‬ USD,‪24.06 M‬,0.86,‪3.1 K‬,,‪956.00 K‬ USD,‪32.03 K‬ USD,Consumer Durables,Electronics/Appliances,David M. Maura,spectrumbrands.com,Middleton,1906,BBG000DS5588
SPCB,"SuperCom, Ltd.",—,,0.43 USD,‪6.46 M‬ USD,‪38.65 M‬ USD,—,32.36,0.35 USD,‪661.00 K‬ USD,‪27.64 M‬ USD,‪3.73 M‬,1.03,124,,‪222.86 K‬ USD,‪5.33 K‬ USD,Electronic Technology,Computer Communications,Ordan Trabelsi,supercom.com,Tel Aviv,1988,IL0010830961
SPCE,"Virgin Galactic Holdings, Inc.",—,,−2.35 USD,‪385.71 K‬ USD,‪142.19 M‬ USD,—,—,−11.94 USD,‪−346.74 M‬ USD,‪7.04 M‬ USD,‪41.09 M‬,2.31,744,−61 −7.58%,‪9.46 K‬ USD,‪−466.05 K‬ USD,Electronic Technology,Aerospace & Defense,Michael A. Colglazier,virgingalactic.com,Tustin,2017,BBG00HTN2CQ3
SPFI,"South Plains Financial, Inc.",—,Q2 2025,0.78 USD,‪52.24 M‬ USD,‪595.72 M‬ USD,1.66%,12.09,3.12 USD,‪49.72 M‬ USD,‪289.85 M‬ USD,‪12.24 M‬,0.96,600,−18 −2.91%,‪483.09 K‬ USD,‪82.86 K‬ USD,Finance,Regional Banks,Curtis C. Griffith,spfi.bank,Lubbock,1992,BBG000QL34X6
SPGI,S&P Global Inc.,—,,—,—,‪157.62 B‬ USD,0.75%,40.78,12.75 USD,‪3.85 B‬ USD,‪14.21 B‬ USD,‪306.26 M‬,0.85,‪42.35 K‬,,‪335.49 K‬ USD,‪90.96 K‬ USD,Commercial Services,Financial Publishing/Services,PikLing Martina Cheung,spglobal.com,New York,1917,BBG000BP1Q11
SPH,"Suburban Propane Partners, L.P.",—,,—,—,‪1.17 B‬ USD,7.13%,12.64,1.46 USD,‪74.17 M‬ USD,‪1.33 B‬ USD,‪61.79 M‬,0.39,‪3.1 K‬,−142 −4.38%,‪428.40 K‬ USD,‪23.94 K‬ USD,Distribution Services,Wholesale Distributors,Michael A. Stivala,suburbanpropane.com,Whippany,1928,BBG000BJ7NF1
SPHL,Springview Holdings Ltd,‪10.35 M‬ USD,,—,−0.0363 USD,71,−1 −1.39%,‪92.87 K‬ USD,‪−10.87 K‬ USD,,,,,Industry,−1 −1.39%,,,,,"H1 '23
H2 '23
H1 '24
H2 '24",,,,
SPHR,Sphere Entertainment Co.,—,,—,—,‪1.36 B‬ USD,—,—,−9.82 USD,‪−200.65 M‬ USD,‪1.03 B‬ USD,‪27.44 M‬,1.88,970,−130 −11.82%,‪1.06 M‬ USD,‪−231.58 K‬ USD,Consumer Services,Media Conglomerates,James Lawrence Dolan,sphereentertainmentco.com,New York,2010,BBG00L9HLWV8
SPIR,"Spire Global, Inc.",—,,—,—,‪401.43 M‬ USD,—,—,−3.82 USD,‪−102.82 M‬ USD,‪110.45 M‬ USD,‪23.70 M‬,1.74,447,,‪247.09 K‬ USD,‪−230.02 K‬ USD,Technology Services,Packaged Software,Theresa Condor,spire.com,Vienna,2012,BBG00WCNHBW7
SPKL,Spark I Acquisition Corp.,‪178.67 M‬ USD,,61.12,0.18 USD,3,0,0.00 USD,‪1.05 M‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
SPNS,Sapiens International Corporation N.V.,—,,—,—,‪1.68 B‬ USD,1.96%,23.18,1.30 USD,‪72.18 M‬ USD,‪542.38 M‬ USD,‪30.64 M‬,0.82,‪4.85 K‬,−150 −3.00%,‪111.83 K‬ USD,‪14.88 K‬ USD,Technology Services,Packaged Software,Roni Al-Dor,sapiens.com,Holon,1982,BBG000G3YP84
SPNT,SiriusPoint Ltd.,—,,—,—,‪2.25 B‬ USD,—,20.20,0.99 USD,‪199.90 M‬ USD,‪2.60 B‬ USD,‪106.87 M‬,0.02,‪1.07 K‬,,‪2.43 M‬ USD,‪186.47 K‬ USD,Finance,Property/Casualty Insurance,Scott Egan,siriuspt.com,Pembroke,1945,BBG004TYNXX1
SPOK,"Spok Holdings, Inc.",—,,0.18 USD,—,‪342.32 M‬ USD,7.56%,21.36,0.78 USD,‪14.96 M‬ USD,‪137.65 M‬ USD,‪20.15 M‬,0.61,410,,‪335.74 K‬ USD,‪36.50 K‬ USD,Communications,Wireless Telecommunications,Vincent D. Kelly,spok.com,Plano,1965,BBG000N4KB80
SPOT,Spotify Technology S.A.,—,,—,—,‪140.37 B‬ USD,—,117.40,6.19 USD,‪1.23 B‬ USD,‪16.95 B‬ USD,‪150.33 M‬,0.88,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
SPPL,SIMPPLE LTD.,‪10.30 M‬ USD,,—,−1.18 USD,35,−21 −37.50%,‪80.67 K‬ USD,‪−84.08 K‬ USD,,,,,Industry,−21 −37.50%,,,,,"H1 '24
H2 '24",,,,
SPR,"Spirit Aerosystems Holdings, Inc.",—,,—,—,‪4.51 B‬ USD,—,—,−18.22 USD,‪−2.14 B‬ USD,‪6.32 B‬ USD,‪115.98 M‬,0.96,‪20.37 K‬,−285 −1.38%,‪310.09 K‬ USD,‪−105.05 K‬ USD,Electronic Technology,Aerospace & Defense,Patrick M. Shanahan,spiritaero.com,Wichita,2005,BBG000PRJ2Z9
SPRC,SciSparc Ltd.,‪3.65 M‬ USD,,—,−1.9625 USD,2,−2 −50.00%,‪653.00 K‬ USD,‪−3.14 M‬ USD,,,,,Industry,−2 −50.00%,,,,,"H2 '22
H1 '23
H2 '23
H1 '24
H2 '24",,,,
SPRO,"Spero Therapeutics, Inc.","≈
August 7",Q2 2025,−0.38 USD,‪11.00 M‬ USD,‪159.35 M‬ USD,—,—,−1.28 USD,‪−68.57 M‬ USD,‪27.40 M‬ USD,‪37.37 M‬,2.27,32,−14 −30.43%,‪856.13 K‬ USD,‪−2.14 M‬ USD,Health Technology,Biotechnology,Esther Rajavelu,sperotherapeutics.com,Cambridge,2013,BBG00HXSJ1R2
SPRU,Spruce Power Holding Corporation,—,,—,—,‪33.87 M‬ USD,—,—,−4.50 USD,‪−70.51 M‬ USD,‪82.61 M‬ USD,‪13.53 M‬,1.22,165,,‪500.65 K‬ USD,‪−427.36 K‬ USD,Utilities,Electric Utilities,Christopher M Hayes,sprucepower.com,Denver,2009,BBG00PP0KRL1
SPRY,"ARS Pharmaceuticals, Inc.",—,,—,—,‪1.43 B‬ USD,—,—,−0.16 USD,‪8.00 M‬ USD,‪89.15 M‬ USD,‪54.77 M‬,1.24,160,,‪557.18 K‬ USD,‪49.99 K‬ USD,Health Technology,Pharmaceuticals: Major,Richard E. Lowenthal,ars-pharma.com,San Diego,2015,BBG00FZQGXG3
SPSC,"SPS Commerce, Inc.","≈
July 24",Q2 2025,0.91 USD,‪185.82 M‬ USD,‪5.49 B‬ USD,—,66.00,2.16 USD,‪77.05 M‬ USD,‪637.76 M‬ USD,‪37.45 M‬,0.94,‪2.78 K‬,,‪229.16 K‬ USD,‪27.69 K‬ USD,Technology Services,Packaged Software,Chadwick Collins,spscommerce.com,Minneapolis,1987,BBG000PZGB75
SPT,"Sprout Social, Inc",—,,—,—,‪1.31 B‬ USD,—,—,−1.04 USD,‪−61.97 M‬ USD,‪405.91 M‬ USD,‪50.01 M‬,1.09,‪1.32 K‬,−61 −4.41%,‪307.04 K‬ USD,‪−46.88 K‬ USD,Technology Services,Packaged Software,Ryan Barretto,sproutsocial.com,Chicago,2010,BBG001K1CT23
SPTN,SpartanNash Company,"≈
August 14",Q1 2025,0.50 USD,‪2.29 B‬ USD,‪633.67 M‬ USD,4.70%,—,−0.31 USD,‪297.00 K‬ USD,‪9.55 B‬ USD,‪33.23 M‬,0.03,‪19 K‬,,‪502.60 K‬ USD,15.63 USD,Distribution Services,Food Distributors,Tony Bashir Sarsam,spartannash.com,Grand Rapids,1917,BBG000CGC453
SPWH,"Sportsman's Warehouse Holdings, Inc.","≈
September 3",Q2 2025,−0.12 USD,‪291.64 M‬ USD,‪131.81 M‬ USD,—,—,−0.95 USD,‪−33.06 M‬ USD,‪1.20 B‬ USD,‪35.44 M‬,0.13,‪5.1 K‬,−300 −5.56%,‪234.83 K‬ USD,‪−6.48 K‬ USD,Retail Trade,Specialty Stores,Paul E. Stone,sportsmans.com,West Jordan,1986,BBG002G8Q1H1
SPWR,"Complete Solaria, Inc.","≈
August 26",Q2 2025,0.02 USD,‪85.00 M‬ USD,‪155.73 M‬ USD,—,—,−0.52 USD,‪−56.45 M‬ USD,‪108.74 M‬ USD,‪48.54 M‬,1.69,600,,‪181.24 K‬ USD,‪−90.74 K‬ USD,Industrial Services,Engineering & Construction,Thurman John Rodgers,completesolaria.com,San Ramon,2010,BBG00ZCW2DK5
SPXC,"SPX Technologies, Inc.","≈
July 31",Q2 2025,1.45 USD,‪548.03 M‬ USD,‪7.62 B‬ USD,—,36.99,4.41 USD,‪201.80 M‬ USD,‪1.98 B‬ USD,‪45.34 M‬,1.54,‪4.3 K‬,,‪461.37 K‬ USD,‪46.93 K‬ USD,Producer Manufacturing,Building Products,Eugene Joseph Lowe,spx.com,Charlotte,1912,BBG000BTGCV5
SQFT,"Presidio Property Trust, Inc.","≈
August 6",Q2 2025,—,‪5.40 M‬ USD,‪5.46 M‬ USD,—,—,−16.38 USD,‪−25.63 M‬ USD,‪18.93 M‬ USD,‪960.28 K‬,0.38,15,,‪1.26 M‬ USD,‪−1.71 M‬ USD,Finance,Real Estate Investment Trusts,Jack Kendrick Heilbron,presidiopt.com,San Diego,1999,BBG00HS39XJ3
SR,Spire Inc.,—,Q3 2025,−0.15 USD,‪354.37 M‬ USD,‪4.40 B‬ USD,4.25%,18.22,4.07 USD,‪250.60 M‬ USD,‪2.59 B‬ USD,‪57.41 M‬,0.13,‪3.48 K‬,−114 −3.18%,‪746.19 K‬ USD,‪72.12 K‬ USD,Utilities,Gas Distributors,Scott E. Doyle,spireenergy.com,St. Louis,1857,BBG000BN6KG8
SRAD,Sportradar Group AG,"≈
August 13",Q2 2025,0.04 USD,‪360.62 M‬ USD,‪7.53 B‬ USD,—,116.86,0.21 USD,‪36.94 M‬ USD,‪1.20 B‬ USD,‪181.56 M‬,0.96,‪4.77 K‬,,‪251.14 K‬ USD,‪7.75 K‬ USD,Technology Services,Packaged Software,Carsten Marcus Koerl,sportradar.com,St. Gallen,2001,CH1134239669
SRBK,"SR Bancorp, Inc.",‪108.55 M‬ USD,,661.62,0.02 USD,116,+51 +78.46%,‪330.81 K‬ USD,‪−93.62 K‬ USD,,,,,Industry,,,,,,"Q3 '24
Q4 '24
Q1 '25
Q2 '25
Q3 '25",,,,
SRCE,1st Source Corporation,"≈
July 17",Q2 2025,1.47 USD,‪104.68 M‬ USD,‪1.53 B‬ USD,2.48%,10.64,5.75 USD,‪131.40 M‬ USD,‪567.68 M‬ USD,‪18.30 M‬,0.83,‪1.21 K‬,,‪471.11 K‬ USD,‪109.04 K‬ USD,Finance,Regional Banks,Christopher J. Murphy,1stsource.com,South Bend,1971,BBG000BTH4T5
SRDX,"Surmodics, Inc.",—,,−0.18 USD,‪28.05 M‬ USD,‪417.54 M‬ USD,—,—,−1.40 USD,‪−11.54 M‬ USD,‪126.08 M‬ USD,‪13.73 M‬,0.50,389,,‪324.11 K‬ USD,‪−29.67 K‬ USD,Health Technology,Medical Specialties,Gary R. Maharaj,surmodics.com,Eden Prairie,1979,BBG000BZ2QG2
SRE,DBA Sempra,—,,0.94 USD,—,‪49.55 B‬ USD,3.45%,16.91,4.57 USD,‪2.86 B‬ USD,‪12.96 B‬ USD,‪651.59 M‬,0.71,‪16.77 K‬,−62 −0.37%,‪772.49 K‬ USD,‪170.63 K‬ USD,Utilities,Gas Distributors,Jeffrey Walker Martin,sempra.com,San Diego,1996,BBG000C2ZCH8
SRFM,Surf Air Mobility Inc.,—,,—,—,‪46.09 M‬ USD,—,—,−4.27 USD,‪−74.91 M‬ USD,‪119.42 M‬ USD,‪12.64 M‬,3.09,703,−130 −15.61%,‪169.88 K‬ USD,‪−106.55 K‬ USD,Transportation,Airlines,Deanna White,surfair.com,Hawthorne,2020,BBG00X3GMTJ0
SRI,"Stoneridge, Inc.",—,,−0.09 USD,—,‪176.82 M‬ USD,—,—,−0.64 USD,‪−16.52 M‬ USD,‪908.29 M‬ USD,‪26.94 M‬,1.41,‪4.45 K‬,−400 −8.25%,‪204.11 K‬ USD,‪−3.71 K‬ USD,Producer Manufacturing,Auto Parts: OEM,James Zizelman,stoneridge.com,Novi,1965,BBG000BB9Q78
SRL,Scully Royalty Ltd.,‪93.53 M‬ USD,,—,−1.02 USD,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
SRM,"SRM Entertainment, Inc.",‪13.95 M‬ USD,,—,−0.2567 USD,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
SRPT,"Sarepta Therapeutics, Inc.",—,,—,—,‪3.90 B‬ USD,—,—,−2.52 USD,‪235.24 M‬ USD,‪1.90 B‬ USD,‪93.37 M‬,1.26,‪1.37 K‬,,‪1.39 M‬ USD,‪171.46 K‬ USD,Health Technology,Pharmaceuticals: Major,Douglas S. Ingram,sarepta.com,Cambridge,1980,BBG000BCJ161
SRRK,Scholar Rock Holding Corporation,—,Q2 2025,−0.68 USD,0.00 USD,‪3.27 B‬ USD,—,—,−2.65 USD,‪−246.29 M‬ USD,0.00 USD,‪72.77 M‬,2.25,196,,0.00 USD,‪−1.26 M‬ USD,Health Technology,Biotechnology,David L. Hallal,scholarrock.com,Cambridge,2012,BBG00KT2RRM6
SRTS,"Sensus Healthcare, Inc.",—,,0.03 USD,—,‪84.36 M‬ USD,—,45.50,0.11 USD,‪6.65 M‬ USD,‪41.81 M‬ USD,‪13.51 M‬,0.83,54,,‪774.20 K‬ USD,‪123.09 K‬ USD,Health Technology,Medical Specialties,Joseph C. Sardano,sensushealthcare.com,Boca Raton,2010,BBG0074FZRZ0
SRXH,"SRX Health Solutions, Inc.",—,,—,—,‪6.97 M‬ USD,—,—,−0.7149 USD,‪−168.00 K‬ USD,‪34.98 M‬ USD,‪11.47 M‬,−0.34,21,−10 −32.26%,‪1.67 M‬ USD,‪−8.00 K‬ USD,Health Technology,Biotechnology,Kent Cunningham,srxhealth.com,Tampa,2001,BBG000QJZFS7
SRZN,"Surrozen, Inc.",—,,—,—,‪72.78 M‬ USD,—,—,−24.46 USD,‪−63.56 M‬ USD,‪10.65 M‬ USD,‪4.80 M‬,−1.87,41,−1 −2.38%,‪259.88 K‬ USD,‪−1.55 M‬ USD,Health Technology,Biotechnology,Craig C. Parker,surrozen.com,South San Francisco,2015,BBG00XY94S95
SSB,SouthState Corporation,—,,—,—,‪9.21 B‬ USD,2.39%,14.27,6.38 USD,‪534.78 M‬ USD,‪2.44 B‬ USD,‪100.16 M‬,1.02,‪4.99 K‬,−84 −1.66%,‪489.45 K‬ USD,‪107.26 K‬ USD,Finance,Regional Banks,John C. Corbett,southstatebank.com,Winter Haven,1985,BBG000BNPYN9
SSBI,Summit State Bank,‪65.76 M‬ USD,,—,−0.46 USD,106,−9 −7.83%,‪586.99 K‬ USD,‪−39.56 K‬ USD,,,,,Industry,−9 −7.83%,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
SSBK,"Southern States Bancshares, Inc.",—,,0.98 USD,—,‪352.73 M‬ USD,1.04%,9.14,3.84 USD,‪34.87 M‬ USD,‪176.89 M‬ USD,‪7.59 M‬,0.49,206,,‪858.71 K‬ USD,‪169.26 K‬ USD,Finance,Regional Banks,Mark A. Chambers,southernstatesbank.net,Anniston,2007,BBG000MHBQT6
SSD,"Simpson Manufacturing Company, Inc.",—,,2.28 USD,—,‪6.72 B‬ USD,0.74%,20.67,7.72 USD,‪322.22 M‬ USD,‪2.23 B‬ USD,‪41.61 M‬,0.99,‪5.87 K‬,,‪380.13 K‬ USD,‪54.87 K‬ USD,Producer Manufacturing,Building Products,Michael Olosky,simpsonmfg.com,Pleasanton,1956,BBG000JLC8L8
SSII,SS Innovations International Inc.,‪886.71 M‬ USD,,—,−0.09 USD,378,+139 +58.16%,‪54.44 K‬ USD,‪−50.66 K‬ USD,,,,,Industry,,,,,,,,,,
SSKN,"Strata Skin Sciences, Inc.",—,,—,—,‪10.14 M‬ USD,—,—,−2.21 USD,‪−10.09 M‬ USD,‪33.56 M‬ USD,‪2.57 M‬,0.18,106,,‪316.62 K‬ USD,‪−95.15 K‬ USD,Health Technology,Medical Specialties,Dolev Rafaeli,strataskinsciences.com,Horsham,1989,BBG000DK7609
SSNC,"SS&C Technologies Holdings, Inc.","≈
July 24",Q2 2025,1.39 USD,‪1.51 B‬ USD,‪20.18 B‬ USD,1.23%,25.11,3.32 USD,‪760.50 M‬ USD,‪5.88 B‬ USD,‪214.08 M‬,0.72,‪26.8 K‬,,‪219.48 K‬ USD,‪28.38 K‬ USD,Technology Services,Information Technology Services,William Charles Stone,ssctech.com,Windsor,1986,BBG000RJ2J04
SSP,E.W. Scripps Company (The),—,,−0.21 USD,‪544.58 M‬ USD,‪247.34 M‬ USD,—,2.34,0.93 USD,‪145.51 M‬ USD,‪2.51 B‬ USD,‪70.11 M‬,0.15,‪5 K‬,−200 −3.85%,‪501.95 K‬ USD,‪29.10 K‬ USD,Consumer Services,Broadcasting,Adam P. Symson,scripps.com,Cincinnati,1878,BBG000C78J55
SSRM,SSR Mining Inc.,—,Q2 2025,0.21 USD,‪350.45 M‬ USD,‪2.50 B‬ USD,—,31.05,0.41 USD,‪−248.73 M‬ USD,‪947.81 M‬ USD,‪200.15 M‬,1.84,‪3.5 K‬,‪−1.9 K‬ −35.19%,‪270.80 K‬ USD,‪−71.07 K‬ USD,Non-Energy Minerals,Precious Metals,Rodney P. Antal,ssrmining.com,Denver,2020,BBG000C0RWX9
SSSS,SuRo Capital Corp.,—,,−0.17 USD,‪499.00 K‬ USD,‪173.81 M‬ USD,—,—,−0.72 USD,‪−38.12 M‬ USD,‪−530.55 K‬ USD,‪21.58 M‬,1.15,10,−1 −9.09%,‪−53.06 K‬ USD,‪−3.81 M‬ USD,Miscellaneous,Investment Trusts/Mutual Funds,Mark David Klein,surocap.com,New York,2010,BBG001D2TV80
SST,"System1, Inc.",—,,—,—,‪41.14 M‬ USD,—,—,−1.1228 USD,‪−74.67 M‬ USD,‪343.93 M‬ USD,‪6.48 M‬,3.28,300,,‪1.15 M‬ USD,‪−248.91 K‬ USD,Technology Services,Packaged Software,Michael Blend,system1.com,Los Angeles,2013,BBG00V76KZV6
